,text,label,pred_label
1230,"Page 92 of the House health care bill ""says specifically that people can't purchase private health insurance after a date certain.""",0, fake.
1231,What they will do is socialized medicine.,0, fake.
1232,"In the African-American community today, 68 percent of kids born are born out of wedlock.",1, fake.
1233,Sen. Sanders did vote five times against the Brady bill.,1, fake.
1234,"Says Marco Rubio said we should be considering internment of Muslims, and maybe we should close down cafes and diners where Muslims gather and in fact compared them to the Nazi party.",0, fake
1235,One out of every two kids who are graduating college right now cant find a job.,1, fake.
1236,"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, that was the end of Romneys chances to win.",0, fake.
1237,The federal tax code has loopholes that are giving incentives for companies that are shipping jobs overseas.,1, fake.
1238,"Gov. Scott Walker (is) more than halfway to (his) 250,000 jobs goal.",0, fake.
1239,"As governor, Tim Kaine oversaw a huge increase in illegal immigration, a tremendous increase.",0, fake
1240,"@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.",1, fake.
1241,It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.,1, fake
1242,Obama has chosen to deny the vicious anti-Semitic motivation of the attack on a kosher Jewish grocery in Paris.,0, fake.
1243,We got the highest vote count in the history of the Republican Party.,1, fake.
1244,Mequon and Milwaukee have the highest disparity of income in the country.,0, fake.
1245,"The Iraq war has been ""our longest war.""",0, fake.
1246,"We dont get a lot of calls from this White House I have, frankly, never had a call from them.",0, fake
1247,"Under Republicans, recessions happen four times as frequently as under Democrats.",1, fake.
1248,Global warming is a hoax.,0, fake.
1249,Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.,0, fake.
1250,"About 40 percent of U.S. illegal immigrants came in on an airplane, with a legal visa, and just overstayed their visa and have never gone home.",1, fake
1251,"Economic inequality in Multnomah County has a face -- and a name. It has 90,000 faces and names -- the number of county residents who are still unemployed, or underemployed, in the wake of the 2008 Wall Street crash.",0, fake
1252,"Right now one of our highest job growth sectors is Leisure and Hospitality. Weve added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.",1, fake
1253,Ive been through four campaigns and have not done any negative campaigning.,1, fake
1254,On support for Ronald Reagans policies,0, real
1255,"Obamas secretary of energy, Dr. Steven Chu, has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon.",1, fake
1256,The Islamic State just built a hotel in Syria.,0, fake.
1257,"From 1972 until 2011, the number of EPA employees increased by 107 percent while the number of total federal personnel decreased by 15 percent.",1, fake
1258,Our kids cant openly celebrate Christmas or pray in school.,0, fake.
1259,The Obama administration increased the deportation of illegal immigrants convicted of crimes by 70 percent.,1, fake.
1260,Illegal immigration costs state taxpayers over $3 billion every year.,0, fake.
1261,"Says Texas state funds were spent on a TV series on spouses cheating on their wives, kind of glorifying the act of cheating.",1, fake.
1262,"Rick Scott has destroyed over 100,000 jobs.",0, fake.
1263,Georgia has the highest flu activity in the country.,1, fake.
1264,"As president, Barack Obama has never visited Israel.",1, fake.
1265,"Under Scott Walker, Wisconsin unemployments up from 4.8% to 6.2%",0, fake
1266,"An organized crime syndicate was extorting money from his (Tom Ganleys) business, threatening his family, but he fought back and won the FBIs highest civilian award",1, fake
1267,The St. Norbert College/Wisconsin Public Radio poll has been wrong in almost every election.,0, fake.
1268,"Says Obama called Israel ""a constant sore"" that infects U.S. foreign policy.",0, fake.
1269,African-American children are 500 percent more likely to die from asthma than white kids.,1, fake.
1270,"Says the Pentagon has never passed a financial audit. In fact, the Pentagon is exempt from a federal law that requires all federal agencies to complete annual audits.",1, fake
1271,Says Obama promised to cut the deficit in half.,1, fake.
1272,The U.S. would gainrevenue by cutting personal income tax rates in half and ending tax breaks.,1, fake
1273,We spent $223-million on a bridge in Alaska to an island with 50 people on it.,0, fake
1274,"In the 18th Congressional District, 100% of electric generation comes from coal.",1, fake.
1275,Were No. 1 in child hunger.,1, fake.
1276,Says Milwaukee County Executive Chris Abele once proposed a plan to end county funding to homeless shelters.,0, fake.
1277,Says the U.S. election system is rigged.,0, fake.
1278,"Under Donald Trumps tax plan, the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined.",1, fake.
1279,Says he holds the record for most appearances on Meet the Press.,1, fake.
1280,I know that Hillary on occasion has said just last year said this (NAFTA) was a boon to the economy.,0, fake
1281,President Barack Obama said over 20 times he did not have the legal authority to act as he did on immigration.,1, fake.
1282,Income disparities in the United States are the worst since the 1920s.,1, fake.
1283,"President Obama's bill won't bring down the costs (of health care) for average Americans -- or really for very few Americans, if any.",0, fake
1284,Borrowing in my 2015-17 state budget is less than half that in my predecessors last budget and the lowest it has been in a decade.,1, fake.
1285,Virginias current unemployment rate is the lowest in Virginia history.,0, fake.
1286,Says the national heath care reform is a government takeover of health care.,0, fake.
1287,One would have to go back more than a century to find a scenario where a presidents nominee for the Supreme Court was confirmed by the opposition party in the Senate when the vacancy occurred during an election year.,1, fake.
1288,"As a Member of Congress, Chris Murphy was raking in $1 million in salary.",0, fake.
1289,Says Marco Rubio opposes abortioneven in the case of rape and incest.,1, fake.
1290,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""",0, fake.
1291,Seventy percent of Missourians support voter photo ID legislation.,1, fake.
1292,"Says that as Providences mayor, David Cicilline said the city had a world-class school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.",0, fake
1293,Says Ann Kuster said the debate over Americas debt limit is not an important issue of the day.,0, fake.
1294,The Paul Ryan budget proposal would privatize Medicare.,1, fake.
1295,On calling Supreme Court nominee Sonia Sotomayor a racist.,0, fake.
1296,"On immigration, the president said 22 times, 22 times, that he couldnt do what he eventually did.",1, fake
1297,Says Milken Institute rated San Antonio as nations top-performing local economy.,1, fake.
1298,"#Business formation is still on the rise in Ohio! So far in 2011 weve assisted w/ 44,443 new business filings.",1, real
1299,Says President Barack Obamas recent New York fundraising trip cost between $25 million and $50 million.,0, fake.
1300,"30,000 Arizonans may have no choice on Affordable Care Act coverage.",1, fake.
1301,"Paul Ryans budget keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.",1, fake
1302,"This year, were off to our best private-sector jobs growth since 1999.",1, fake.
1303,Says Health and Human Services Secretary Kathleen Sebelius told insurance companies they couldnt inform their policyholders of what they thought the impact of Obamacare would be on them.,1, fake.
1304,Donna Campbell has called for ending all federal funding for education,1, fake
1305,Says Gov. Chris Christie has embarked on a tour to demand that New Jerseys Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest.,0, fake
1306,"McCain says the price of a gas tax ""holiday"" would be about the same as ""a Bridge to Nowhere (or) another pork barrel project.""",0, fake
1307,"My friend, we have increased the size of government by some 40 percent just in the last few years.",1, fake
1308,We havent had control of the House for the last two years and its been malfunctioning. We had 109 sessions scheduled and held 49.,1, fake
1309,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",1, fake.
1310,Says the high-speed rail project provides short-term jobs.,1, fake.
1311,"In Buffalos SolarCity project, Andrew Cuomo will create maybe 500 jobs if it ever happens at all, at about $1.5 million per job.",0, fake
1312,On signing a no-tax pledge,0, fake
1313,Only 3 percent of voters 18 to 34 dont believe that climate change is really happening.,1, fake.
1314,We have cut our deficits by almost three-quarters.,1, fake.
1315,More than half of the people on food stamps today are children.,1, fake.
1316,80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.,0, fake.
1317,I've always said it's (offshore drilling) up to the states and I still say that.,1, fake
1318,The U.S. loses more on tax breaks than it collects in personal income taxes.,1, fake.
1319,"Since (welfare reform) was signed into law, the number of families living in extreme poverty has more than doubled.",1, fake.
1320,"As a senator, Barack Obama supported ""an amendment that basically gutted the legal temporary worker program.""",1, fake.
1321,The majority last quarter of Sherrod Browns campaign contributions came from outside of the state of Ohio.,0, fake.
1322,I'm the only Republican who has gotten endorsements in this presidential race from major labor unions...,1, fake.
1323,Says Barack Obama is the only president to ever cut $500 billion from Medicare.,0, fake.
1324,"We've lost over 5,000 Americans over there in Afghanistan, in Iraq, and plus the civilians killed.",1, fake
1325,"Nearly 40,000 new jobs have been created in the last year due to the new wells . . . right here in Ohio.",0, fake.
1326,"Under the compromise tax agreement, 99.7% of American families will not pay 1 nickel in an estate tax.",1, fake.
1327,"In 2009, the Small Business Entrepreneurship Council ranked Ohio 11th in the nation and 1st in the Midwest for overall business climate.",1, real
1328,SaysGov. John Kasich incorrectly claimed Ohios economy was 38th in the nation when he took office. We were sixth in the nation in terms of economic job growth.,0, fake
1329,The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities.,1, fake.
1330,"Says the money is in the budget to give a tax break to everyone, including people making more than $1 million.",0, fake.
1331,"Says an array of statistics show that conditions in some parts of Baltimore rival that of the West Bank in Palestine, North Korea, and distressed cities in Nigeria, India, China and South Africa.",1, fake
1332,"We have an increase in murder within our cities, the biggest in 45 years.",1, fake.
1333,The budget I managed at the Department of Education was more than $60 million.,1, fake.
1334,"President Barack Obama wants to take in 250,000 (people) from Syria.",0, fake.
1335,Says some Wisconsin state employee contracts gave some employees $4 for bringing in their own lunch.,1, fake.
1336,Forty percent of union members voted Republican in 2008.,1, fake.
1337,We spend twice as much per capita on health care as any other nation on Earth.,0, fake.
1338,The government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use.,0, fake.
1339,"Over the last six years, the state of Illinois spent about $320 million on illegal immigrants.",1, fake.
1340,Theyre saying that 40 percent of the traffic that goes over [the Sakonnet River Bridge is from] out of state.,1, fake.
1341,Massachusetts public schools teach kids as young as kindergartners about gay marriage.,0, fake.
1342,This week the House of Representatives voted to remove the word lunatic from federal law.,1, fake.
1343,"Preventive care ""saves money.""",0, fake.
1344,Theres still about $400 billion or $500 billion of the stimulus plan that has not been spent. Why dont we stop it.,0, fake.
1345,It has been 269 days since (Hillary) Clinton has held a press conference.,1, fake
1346,The Providence teacher contract is one of the longest in the country.,0, fake.
1347,Says President Barack Obama has not proposed one thing that would change the fact that Warren Buffett pays a lower tax rate than his secretary.,0, fake.
1348,"Texas House Speaker Joe Straus said, I do not care if Wallace Hall swings from a tree.",0, fake
1349,Obamacare carries on even under a government shutdown.,1, fake.
1350,Says Travis Countys unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.,1, fake
1351,"John McCain wants to ""give oil companies another $4-billion"" in tax breaks.",1, fake
1352,"The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor.",0, real
1353,"Obama ""wants a windfall profits tax on oil to go along with the new taxes he also plans for coal and natural gas.""",1, fake
1354,I supported tort reform with regard to securities...product liability...interstate commerce.,1, real
1355,Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.,1, fake.
1356,The American people spoke pretty loudly. They said stop all the looming tax hikes....,0, fake
1357,Says salaries and benefits for Wisconsin state employee comprised 8.5 percent of the 2009-2011 state budget.,0, fake.
1358,"When the United States invaded Iraq, Saddam Hussein wanted to acquire weapons of mass destruction, and ""he said so himself after his capture.""",1, fake
1359,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",1, real
1360,Not a single unarmed white person has been shot by the police in New York in about 45 years.,0, fake.
1361,Because of Barack Obama 32 million new people will have healthcare.,1, fake.
1362,Millions of dollars are spent by Planned Parenthood to elect Democrats to the House of Representatives and the Senate.,1, fake.
1363,"Twenty percent of single adults, ages 21 to 25 with no kids, are not working or even in school trying to find a job.",0, fake
1364,The average age of members of the House of Representatives is 57 years old.,1, fake.
1365,Uber and other ride-share firms are not required to carry auto insurance under Georgia law.,1, fake.
1366,Says a federal plan to expand Medicaid would cost Florida taxpayers $26 billion over 10 years.,0, fake.
1367,Bernie Sanderss plan is to raise your taxes to 90 percent.,0, fake.
1368,Attacks on Planned Parenthood come at a time when the poverty rate among women is the highest in nearly two decades and 1 in 5 women under 65 dont have access to health care.,1, fake
1369,We dont have bars on campus in Texas. Its against the law... no alcohol allowed.,0, fake
1370,They (Clinton and Obama) have never to my knowledge been involved in legislation nor hearings nor engagement on this issue (climate change).,0, fake
1371,"An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.",1, fake.
1372,"While the smoking rate nationally has fallen, more than 18 percent of Georgians still light up.",1, fake
1373,Says his campaign has released his past tax returns.,0, fake.
1374,The number of jobs created and people lifted out of poverty during Bill Clintons presidency was a hundred times what it was under President Ronald Reagan.,0, fake.
1375,The deal to raise the federal debt limit created the largest debt ceiling increase in Americas history.,1, fake.
1376,Says Josh Mandel bet against Ohio families,0, fake
1377,"In 32 other states and Washington D.C., they [voters] can avoid the wait by voting before Election Day.",1, fake
1378,The people of Rhode Island dont want same-sex marriage.,0, fake.
1379,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",1, real
1380,The president by executive order could grant voting rights to illegal immigrants who are newly legalized under pending legislation.,0, fake.
1381,Trump Management was charged with discriminating against African-Americans and breaking federal law.,1, fake.
1382,"After one year, Tennessees students made their biggest single-year jump in achievement ever recorded in the state.",1, real
1383,China is practicing how to blow up our satellites.,1, fake.
1384,Says income tax rates under Eisenhower were as high as 90 percent.,1, fake.
1385,The problem with invasive species today in the Great Lakes isnt ballast water.,1, fake.
1386,"You are three times more likely to be able to get a mortgage if youre a white applicant than if youre black or Hispanic, even if you have the same credentials.",0, fake.
1387,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,0, fake
1388,"Barack Obama ""openly supported (opposition leader) Raila Odinga during his visit to Africa in 2006.""",0, fake.
1389,"In 31 states, decent child care costs more than college tuition.",1, fake.
1390,"Says Missouri families earning power is about $5,000 less today than it was at the turn of the century.",1, fake.
1391,The Colorado caucus system for selecting Republican delegates is rigged.,0, fake.
1392,Says that in the recent year homeowners across Ohio have signed mineral rights agreements and I understand that over a billion dollars worth of leases have been signed to date.,1, real
1393,Says New Hampshires second congressional district includes two counties where almost 5 percent if not more of residents are enrolled in the states expanded Medicaid program.,1, fake.
1394,The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.,0, fake
1395,"Says Ohio Gov. John Kasich got lucky with a thing called fracking, which is why Ohio is doing well.",0, fake.
1396,Says Chris Abele has had five years and hes done nothing about the Estabrook Dam.,0, fake.
1397,Sherrod Brown failed to pay his own taxes three separate times.,1, fake.
1398,"Says that had E-Verify been in place in Florida when 9/11 terrorists lived here, we might have saved the lives of 3,000 Americans.",0, fake.
1399,"President Eisenhower, on the night before the Normandy invasion...[wrote a] letter of resignation to the United States Army for the failure of the landings at Normandy.",0, fake
1400,Ohio companies export more goods and services globally than 41 other states.,1, real.
1401,The Wisconsin Legislature raised taxes more than $5 billion in 2009.,0, fake.
1402,"A few months into office, (President Barack Obama) traveled around the globe to apologize for America.",0, fake
1403,Oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but Oregon.,1, fake
1404,We now do have evidence that Donald Trump is being used as a recruiting tool for terrorists.,1, fake.
1405,Says the Annies List political group supports third-trimester abortions on demand.,0, fake.
1406,"In her campaign for president, Hillary Clinton has received $100 million in contributions from Wall Street and hedge funds.",0, fake.
1407,78702 is the second-most gentrified ZIP code in the entire country.,0, fake.
1408,The two worst counties for (Medicaid) fraud in the country -- not state -- are Dade and Broward county.,1, fake.
1409,The New York Times writes this long story about Donald Trumps tax returns but didnt point out there was no wrongdoing until paragraph 18.,0, fake
1410,The right-to-work states are creating a lot more jobs today than the heavily unionized states.,1, fake.
1411,"According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.",1, real
1412,Our crime rate continues to plummet.,1, fake.
1413,Twenty-two million jobs were created during Clintons two terms but only 3 million during Bushs.,1, fake.
1414,Americans are 20 times as likely to die from gun violence as citizens of other civilized countries.,1, fake.
1415,Says the GOP is helping pay for Justice Rebecca Bradleys campaign and she recently skipped court to attend an event paid for by Scott Walkers lobbyist friends.,1, fake.
1416,"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark.",1, fake.
1417,Says over 90 percent of Travis Countys eligible residents have registered to vote.,1, fake.
1418,The top one-tenth of 1 percent now owns almost as much wealth as the bottom 90 percent.,1, real
1419,The Koch brothers alone gave twice as much money to Scott Walker as the total amount of money raised by Tom Barrett.,0, fake.
1420,Says Ohio law gives tax breaks to rich people who own private jets.,1, fake.
1421,"In the 2014 elections, the American people overwhelmingly said we dont want Obamacare and we dont want amnesty.",0, fake
1422,"Says that in 2008, President Barack Obama said normalization with Cuba would first require liberation of all political prisoners and some basic steps toward freedom, including freedom of the press, political parties, labor unions.",1, fake.
1423,The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chiefs ability to be commander-in-chief.,0, fake
1424,"Says as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it.",0, fake.
1425,The top 1 percent of income-earners pay about 40 percent of all taxes into the federal government.,0, fake.
1426,Seventy-five percent of the young adults in this country are not mentally or physically fit to serve.,1, fake.
1427,"Says Trump ties are made in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.",1, fake
1428,It takes as much energy to make a solar panel as it likely generates in its entire life.,0, fake.
1429,Things went wrong with the Medicare prescription D plan that George Bush rolled out.,1, fake.
1430,Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming any more economically viable.,0, fake
1431,Says Barack Obama began his presidency going on a worldwide apology tour.,0, fake.
1432,Property taxes had increased 70 percent in the previous 10 years.,1, fake.
1433,Pennsylvania has lost 35 percent of its manufacturing jobs since 2001 and Harrisburg has lost 40 percent of its manufacturing jobs since 2001.,1, real
1434,Says Ronda Storms voted to fund the Taj Mahal courthouse.,1, fake.
1435,We have the second highest corporate tax rate among our trading partners.,1, fake.
1436,"Arizona schools rank 45th in the nation, dead last in funding per student.",1, fake.
1437,"Never once did they (House Republicans) actually cut spending or reduce the state budget. Even when they cut taxes in 2005, they increased spending. They never paid for their tax cuts.",1, fake
1438,I think we came down here (to Florida) one time ... but we weren't actively fundraising here.,0, fake
1439,Illegal immigration is lower than its been in 40 years.,1, fake.
1440,Says some Austin school district classrooms lack electrical outlets.,0, fake.
1441,Nobodys addicted to marijuana.,0, fake.
1442,More people without health care since George Bush took office; more children in poverty since George Bush took office.,1, real
1443,Says he forced Washington to open up the Arctic Ocean to oil drilling.,1, fake.
1444,Says U.S. Senate candidate Tommy Thompson supports a plan for privatizing Social Security.,0, fake.
1445,"The Jewish holiday Purim is ""their version of Halloween here.""",0, fake.
1446,"Once people become citizens under the DREAM Act and turn 21, they can sponsor their illegal immigrant parents for legalization.",1, fake.
1447,"Says Barack Obama is a hypocrite for criticizing President George W. Bushs drone attack program, then using it aggressively as president.",0, fake
1448,"The Medicare proposal by Rep. Paul Ryan, R-Wis., would allow insurance companies to deny you coverage and drop you for pre-existing conditions.",0, fake.
1449,Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.,1, fake.
1450,Bill Lynch told three lies in ten seconds,1, fake
1451,Our credit rating went up since Ive been in office.,0, fake.
1452,There are no tax increases in this debt limit bill. Period.,1, fake.
1453,Existing law right now requires 700 miles of double-layered border fencing on the Mexico border.,0, fake.
1454,"On the question on the DREAM Act, no -- no to granting lower tuition to illegals.",0, fake.
1455,"Every American now is $51,000 in debt. Thats money I owe, thats money my children owe before they even go to kindergarten, thats their check to the federal government right now.",1, fake.
1456,Big oil's filling John McCain's campaign with $2-million in contributions.,1, fake.
1457,"A black male baby born today, if we do not change the system, stands a one-in-three chance (of) ending up in jail.",1, fake
1458,"Over the last few decades, the income of the top 1 percent grew by more than 275 percent -- to an average of $1.3 million a year.",1, fake
1459,Northern Virginia is the most heavily trafficked place in the country.,1, fake.
1460,"This (SCHIP) is socialized medicine. It is going to go to families that make $60,000 a year. Those aren't poor children.",1, fake
1461,"Thanks to #ObamaCare, average E.R. wait in California is 5 hours.",0, fake.
1462,One of the biggest polluters in our country is the Milwaukee Metropolitan Sewerage District.,0, fake.
1463,"Right now, America has $1.1 trillion of student debt. Thats more than credit card debt.",1, fake.
1464,Pakistan has 100 nuclear warheads and theyre rushing to build a lot more. Theyll have more than Great Britain sometime in the relatively near future.,1, fake
1465,State Sen. Alberta Darling voted to add more than $1 billion in additional spending while cutting programs such as education and health care,1, fake
1466,"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.",1, fake
1467,"Weeks after accepting a quarter-million-dollar campaign contribution from a hospital board chairman, Greg Abbott went to court against victims of a drug-taking neurosurgeon.",1, fake
1468,Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.,0, fake.
1469,Dr. Paul never votes for legislation unless the proposed measure is expressly authorized by the Constitution.,0, fake.
1470,"In 2009, the state Legislature passed more than $5 billion in tax increases.",0, fake.
1471,"You have to be a citizen to vote, but with same-day voter registration, you have places where people just walk in and vote.",0, fake
1472,"The DREAM Act was written by members of both parties. When it came up for a vote a year and a half ago, Republicans in Congress blocked it. The bill hadnt changed. ... The only thing that had changed was politics.",1, fake
1473,Repealing Obamacare saves our nation more than $2 trillion.,0, fake.
1474,More than half of our unemployed Ohioans have been out of work for six months or more.,1, fake.
1475,"Hillary Clinton has already said shes going to wipe out the Second Amendment. She doesnt believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment",0, fake
1476,"Blue Cross headquarters has ""a $30,000 granite table.""",0, fake
1477,Says House Republicans rejected a straightforward measure that would prevent members of Congress and the president from being paid during a government shutdown.,1, fake.
1478,Says New Jerseys job growth in May represents 25 percent of all the jobs created in the country.,0, fake.
1479,"In the past, President Obama has refused to meet with representatives from Cuban exile organizations.",0, fake.
1480,The United States is the only advanced country on Earth that doesnt guarantee paid maternity leave to our workers.,1, fake.
1481,"Says New Jersey has gained 143,000 new private-sector jobs.",1, real
1482,Bill Nelson voted for higher taxes 150 times.,0, fake.
1483,Says 11 percent of the nations fatal car crashes in 2009 were attributed to distracted driving.,1, fake.
1484,Weve recovered (from the recession) faster and come farther than almost any other advanced country on Earth.,1, real
1485,The Republican Party raffled off an AR-15 assault rifle at the 2010 Oregon State Fair.,1, real
1486,"When Jeb (Bush) was governor, his first four years as governor, his Medicaid program grew twice as fast as mine.",1, fake.
1487,"I am the only candidate who ran in either primary who said, I will not raise taxes on the middle class.",0, fake.
1488,American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.,1, fake.
1489,On immigration reform,1, fake
1490,Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.,1, fake.
1491,The 2009 stimulus bill failed to get people back to work.,0, fake.
1492,(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.,1, fake
1493,Gov. Palin ... is somebody who actually doesn't believe that climate change is man-made.,1, fake.
1494,This is the slowest job recovery since Hoover.,0, fake.
1495,The state has less employees this year than we did last year.,1, fake.
1496,Says she wiped out the state Agriculture Departments inspections of eggs at retail sites like grocery stores.,0, fake.
1497,"In the U.S. agreement with the Cuban government, no commitment was made to allowing the establishment of political parties or to even begin the semblance of a transition to a democracy.",1, fake
1498,The Benghazi probe is the longest-running congressional investigation ever.,0, fake.
1499,Cigarette butts poison babies and small children because of the nicotine in them.,1, fake.
1500,"The high-speed rail project would create 60,000-plus jobs for Floridians.",0, real
1501,The Wisconsin school voucher program has no research that shows that its going to improve student learning.,1, fake.
1502,Eliminating earmarks does not reduce spending.,1, fake.
1503,Ninety-five percent of all the wages in Texas are above minimum wage.,1, fake.
1504,We cut our deficits by more than half.,1, fake.
1505,The deal to raise the nations debt ceiling will directly link a debt ceiling increase to spending cuts for the first time ever.,0, fake.
1506,In the last six years of Ciancis administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence.,1, fake
1507,"While Mayor Kenney personally doesnt support DROP, he cant fault highly qualified city employees for appropriately utilizing a benefit thats available to them.",0, fake
1508,Says the Army is spending $7 million to sponsor a NASCAR team.,1, fake.
1509,The Rhode Island Parole Board never received an objection from the attorney general to the parole of convicted murder Alfred Brissette.,1, fake
1510,Austins Pease Elementary is a school that was created as part of the Texas Constitution.,0, fake.
1511,"Says in Chicago, we take more guns off the streets than New York or L.A.",1, real
1512,Says Wendys founder Dave Thomas left the state literally on his deathbed to avoid the estate tax.,0, fake.
1513,The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.,0, fake.
1514,"In Massachusetts, half of the primary care doctors are not accepting new patients.",1, fake.
1515,Say Portland Public Schools central administration makes up less than 4 percent of the staff.,1, fake
1516,Rick Scott doesnt have any ties to a lobbyist.,0, fake.
1517,"Wealthy taxpayers, not middle-income earners, get most of the deductions in the tax code.",1, fake.
1518,"The Department of Veterans Affairs has a manual out there telling our veterans stuff like, 'Are you really of value to your community?' You know, encouraging them to commit suicide.",0, fake
1519,Forty-five percent of Americans went without needed care because of costs in 2007.,1, real.
1520,"Says Bill White didnt pay taxes while earning $133,600 annual salary as deputy secretary of energy.",0, fake
1521,Providence teachers can go five or six years without an evaluation.,1, fake.
1522,"The average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge.",0, fake
1523,"Every poll you see, the overwhelming majority of people want [E-Verify].",1, fake.
1524,"If all of the [Bush-era] tax cuts expire on schedule, the budget will be close to being balanced in four years.",0, fake
1525,Says he did the very best in a recent poll in Iowa matching up each of the major Republican presidential candidates against President Barack Obama.,1, fake
1526,The U.S. Supreme Court decided in 1982 that non-citizen children must get free K-12 education.,1, fake.
1527,"Says this months special session will cost the state $27,300 a day just for legislators daily living expenses.",1, fake.
1528,"If the government shuts down, all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.",1, fake
1529,Says Mitt Romney raised business taxes 20 percent in Massachusetts.,1, fake.
1530,"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",0, fake.
1531,Says his transportation plan would make Virginia the first state in the nation to eliminate the state tax on gasoline.,1, fake
1532,"In 2008 (Mandel) was re-elected to a second term, representing a district with a 2:1 Democrat to Republican voter ratio.",1, fake
1533,Im the only governor in America ... who signed a law that says there needs to be an independent investigation any time theres a death of someone in police custody.,1, fake
1534,The city of Portland has won more national Constitution contests than any city in America.,1, fake.
1535,"When I was in college, we used to take a popcorn popper . . . and we would fry squirrel.",1, fake
1536,"We are not producing jobs. We created 80,000 jobs last month. We dont talk about the jobs that we lost. The net of it all is that we lost jobs.",0, fake
1537,On applying prosecutorial discretion to immigration cases.,0, fake.
1538,Florida has the second-lowest (campaign) contribution limit in the entire country.,0, fake.
1539,Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.,0, fake
1540,"Phoenix, Arizona, Im told, is now the No. 2 kidnapping capital in the world, right behind Mexico City.",0, fake.
1541,In Malaysia many of the workers are indentured servants because their passports are taken away when they come into this country and are working in slave-like conditions.,1, fake.
1542,"Says Donald Trump said at the Republican convention, I alone can fix it.",1, fake
1543,Abortion services are well over 90 percent of what Planned Parenthood does.,0, fake.
1544,"Mike Martinez cut a deal with prosecutors to avoid facing possible jail time and stuck us with his $24,657.50 legal bill.",1, fake.
1545,Says a state bill checks the spending habits of the Milwaukee County Board of Supervisors by bringing it in line with other county boards around the state.,1, real
1546,Taxes are lower on families than theyve been probably in the last 50 years.,1, fake.
1547,I campaigned on (the proposals in the budget repair bill for Wisconsin) all throughout the election. Anybody who says they are shocked on this has been asleep for the past two years.,0, fake
1548,On whether to seat Roland Burris as the new senator from Illinois.,0, fake.
1549,Half of Oregon university students are on Pell Grants.,1, fake.
